doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
1,"{'is_a', 'produces'}","{'is_a', 'produces'}",,,
,,,is_a,set(),set()
,,,produces,set(),set()
2,"{'is_acron', 'anaphora', 'increases_risk_of', 'produces'}","{'anaphora', 'increases_risk_of'}",,,
,,,is_acron,set(),"{('disease hcv', 'disease hepatitis c', 'is_acron')}"
,,,anaphora,"{('raredisease mixed cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}","{('disease cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}"
,,,increases_risk_of,"{('hepatitis c virus', 'raredisease mixed cryoglobulinemia', 'increases_risk_of')}","{('disease hepatitis c', 'raredisease mixed cryoglobulinemia', 'increases_risk_of')}"
,,,produces,set(),"{('disease hepatitis c', 'sign hepatitis', 'produces')}"
3,"{'anaphora', 'is_a', 'produces'}",{'anaphora'},,,
,,,anaphora,"{('raredisease tinnitus', 'anaphor ""it""', 'anaphora')}","{('disease tinnitus', 'anaphor ""it""', 'anaphora')}"
,,,is_a,set(),"{('disease non-rhythmic tinnitus', 'disease tinnitus', 'is_a'), ('disease rhythmic tinnitus', 'disease tinnitus', 'is_a')}"
,,,produces,set(),"{('disease non-rhythmic tinnitus', 'symptom tinnitus', 'produces'), ('disease rhythmic tinnitus', 'symptom tinnitus', 'produces')}"
4,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
5,"{'is_acron', 'produces'}","{'is_acron', 'is_a'}",,,
,,,is_a,"{('raredisease brain avms', 'disease vascular lesion', 'is_a')}",
,,,is_acron,set(),set()
,,,produces,set(),"{('raredisease arteriovenous malformation', 'raredisease avm', 'produces'), ('raredisease avms', 'sign blood traveling through the abnormal fistulous connections to flow rapidly', 'produces'), ('raredisease avm', 'sign lower the pressure in the arteries', 'produces'), ('raredisease avm', 'sign fistulas', 'produces'), ('raredisease avm', 'sign high flow rates in the vessels', 'produces'), ('raredisease arteriovenous malformation', 'sign lesion', 'produces'), ('raredisease avm', 'sign high flow rates', 'produces'), ('raredisease avms', 'sign lack of capillaries', 'produces'), ('raredisease avm', 'sign low resistance of the direct a-v connections', 'produces'), ('raredisease avm', 'sign direct a-v connections', 'produces'), ('raredisease avm', 'sign stroke', 'produces')}"
6,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
7,"{'anaphora', 'is_synon', 'is_a', 'produces'}","{'anaphora', 'is_a', 'produces'}",,,
,,,anaphora,set(),set()
,,,is_synon,set(),"{('raredisease mucolipidosis type iii', 'raredisease pseudo-hurler polydystrophy', 'is_synon'), ('raredisease mucolipidosis type ii', 'raredisease i-cell disease', 'is_synon')}"
,,,is_a,set(),set()
,,,produces,"{('anaphor ""this disorder""', 'sign mucopolysaccharides and mucolipids accumulation', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign defective enzyme upd-n-acetylglucosamine-1-phosphotransferase', 'produces'), ('anaphor ""this disorder""', 'sign growth delays', 'produces'), ('anaphor ""this disorder""', 'sign deterioration of the hip joints', 'produces')}","{('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucopolysaccharides and mucolipids', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign growth delays', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign deterioration of the hip joints', 'produces'), ('anaphor ""this disorder""', 'sign claw-hands', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in fibroblasts', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign defective upd-n-acetylglucosamine-1-phosphotransferase', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in white blood cells', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign elevated lysosomal enzyme activity in serum', 'produces')}"
8,"{'anaphora', 'produces'}",{'anaphora'},,,
,,,anaphora,"{('raredisease gitelman syndrome', 'anaphor ""the disease""', 'anaphora')}",set()
,,,produces,set(),"{('raredisease gitelman syndrome', 'sign lower blood pressures', 'produces')}"
9,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
10,"{'is_acron', 'is_a', 'produces'}",{'is_a'},,,
,,,is_acron,set(),"{('raredisease c3gn', 'raredisease c3 glomerulonephritis', 'is_acron'), ('raredisease c3g', 'raredisease c3 glomerulopathy', 'is_acron'), ('raredisease ddd', 'raredisease dense deposit disease', 'is_acron')}"
,,,is_a,set(),set()
,,,produces,set(),"{('raredisease c3g', 'sign kidney deposits', 'produces'), ('raredisease dense deposit disease', ""sign dense'sausage-like' deposits in the glomerular basement membrane"", 'produces'), ('raredisease ddd', 'sign abundance of c3 in the renal glomeruli', 'produces'), ('raredisease dense deposit disease', 'sign abundance of a protein called c3 in the renal glomeruli', 'produces')}"
11,{'produces'},{'anaphora'},,,
,,,anaphora,"{('skinraredisease ttd', 'anaphor ""the disease""', 'anaphora')}",
