doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
1,"{'is_a', 'produces'}","{'is_a', 'produces'}",,,
,,,is_a,set(),set()
,,,produces,set(),set()
2,"{'increases_risk_of', 'is_acron', 'produces', 'anaphora'}",{'anaphora'},,,
,,,increases_risk_of,set(),"{('disease hepatitis c', 'raredisease mixed cryoglobulinemia', 'increases_risk_of')}"
,,,is_acron,set(),"{('disease hcv', 'disease hepatitis c', 'is_acron')}"
,,,produces,set(),"{('disease hepatitis c', 'sign hepatitis', 'produces')}"
,,,anaphora,"{('raredisease mixed cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}","{('disease cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}"
3,"{'is_a', 'produces', 'anaphora'}","{'produces', 'anaphora'}",,,
,,,is_a,set(),"{('disease rhythmic tinnitus', 'disease tinnitus', 'is_a'), ('disease non-rhythmic tinnitus', 'disease tinnitus', 'is_a')}"
,,,produces,"{('raredisease tinnitus', 'symptom tinnitus', 'produces')}","{('disease rhythmic tinnitus', 'symptom tinnitus', 'produces'), ('disease non-rhythmic tinnitus', 'symptom tinnitus', 'produces')}"
,,,anaphora,"{('raredisease tinnitus', 'anaphor ""it""', 'anaphora'), ('raredisease rhythmic tinnitus', 'anaphor ""it""', 'anaphora')}","{('disease tinnitus', 'anaphor ""it""', 'anaphora')}"
4,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
5,"{'is_acron', 'produces'}",set(),,,
,,,is_acron,set(),"{('raredisease avm', 'raredisease arteriovenous malformation', 'is_acron')}"
,,,produces,set(),"{('raredisease avm', 'sign high flow rates in the vessels', 'produces'), ('raredisease avms', 'sign lack of capillaries', 'produces'), ('raredisease avms', 'sign blood traveling through the abnormal fistulous connections to flow rapidly', 'produces'), ('raredisease arteriovenous malformation', 'sign lesion', 'produces'), ('raredisease avm', 'sign stroke', 'produces'), ('raredisease avm', 'sign high flow rates', 'produces'), ('raredisease avm', 'sign direct a-v connections', 'produces'), ('raredisease arteriovenous malformation', 'raredisease avm', 'produces'), ('raredisease avm', 'sign low resistance of the direct a-v connections', 'produces'), ('raredisease avm', 'sign lower the pressure in the arteries', 'produces'), ('raredisease avm', 'sign fistulas', 'produces')}"
6,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
7,"{'is_synon', 'is_a', 'produces', 'anaphora'}","{'is_synon', 'is_a', 'produces', 'anaphora'}",,,
,,,is_synon,set(),"{('raredisease mucolipidosis type ii', 'raredisease i-cell disease', 'is_synon')}"
,,,is_a,set(),set()
,,,produces,"{('anaphor ""this disorder""', 'sign clouding of the corneas of the eyes', 'produces'), ('anaphor ""this disorder""', 'sign growth delays', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign defective enzyme upd-n-acetylglucosamine-1-phosphotransferase', 'produces'), ('anaphor ""this disorder""', 'sign easy fatigability', 'produces'), ('anaphor ""this disorder""', 'sign deterioration of the hip joints', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucopolysaccharides', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign accumulation mucolipids', 'produces'), ('anaphor ""this disorder""', 'sign mild to moderate coarseness of facial features', 'produces'), ('anaphor ""this disorder""', 'sign heart disease', 'produces'), ('anaphor ""this disorder""', 'sign mild mental retardation', 'produces')}","{('raredisease pseudo-hurler polydystrophy', 'sign easy fatigability', 'produces'), ('anaphor ""this disorder""', 'sign claw-hands', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign mild to moderate coarseness of facial features', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign deterioration of the hip joints', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign elevated lysosomal enzyme activity in serum', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign mild mental retardation', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucopolysaccharides and mucolipids', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign growth delays', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign defective upd-n-acetylglucosamine-1-phosphotransferase', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign heart disease', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in white blood cells', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in fibroblasts', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign clouding of the corneas of the eyes', 'produces')}"
,,,anaphora,set(),set()
8,"{'produces', 'anaphora'}","{'produces', 'anaphora'}",,,
,,,produces,"{('raredisease gitelman syndrome', 'sign salt wasting', 'produces')}","{('raredisease gitelman syndrome', 'sign lower blood pressures', 'produces')}"
,,,anaphora,"{('raredisease gitelman syndrome', 'anaphor ""the disease""', 'anaphora')}",set()
9,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
10,"{'is_acron', 'is_a', 'produces'}","{'is_a', 'is_acron', 'produces'}",,,
,,,is_acron,set(),"{('raredisease c3g', 'raredisease c3 glomerulopathy', 'is_acron')}"
