doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
1,"{'produces', 'is_a'}","{'produces', 'is_a'}",,,
,,,produces,set(),set()
,,,is_a,set(),set()
2,"{'produces', 'increases_risk_of', 'anaphora', 'is_acron'}",{'anaphora'},,,
,,,produces,set(),"{('disease hepatitis c', 'sign hepatitis', 'produces')}"
,,,increases_risk_of,set(),"{('disease hepatitis c', 'raredisease mixed cryoglobulinemia', 'increases_risk_of')}"
,,,anaphora,"{('raredisease mixed cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}","{('disease cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}"
,,,is_acron,set(),"{('disease hcv', 'disease hepatitis c', 'is_acron')}"
3,"{'produces', 'anaphora', 'is_a'}",{'anaphora'},,,
,,,produces,set(),"{('disease non-rhythmic tinnitus', 'symptom tinnitus', 'produces'), ('disease rhythmic tinnitus', 'symptom tinnitus', 'produces')}"
,,,anaphora,"{('raredisease tinnitus', 'anaphor ""it""', 'anaphora'), ('raredisease rhythmic tinnitus', 'anaphor ""it""', 'anaphora')}","{('disease tinnitus', 'anaphor ""it""', 'anaphora')}"
,,,is_a,set(),"{('disease rhythmic tinnitus', 'disease tinnitus', 'is_a'), ('disease non-rhythmic tinnitus', 'disease tinnitus', 'is_a')}"
4,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
5,"{'produces', 'is_acron'}","{'produces', '', 'anaphora', 'is_a'}",,,
,,,,"{('raredisease avm', 'sign pressure in the arteries, even if somewhat reduced,', '')}",
,,,anaphora,"{('raredisease brain avms', 'anaphor ""they""', 'anaphora')}",
,,,is_a,"{('raredisease brain avms', 'disease vascular lesion', 'is_a')}",
,,,produces,"{('raredisease avm', 'sign high flow rates in the vessels leading to and within the avm', 'produces'), ('raredisease brain avms', 'sign no capillary bed', 'produces'), ('raredisease brain avms', 'sign one or more direct connections between the arterial and venous circulations', 'produces'), ('raredisease brain avms', 'sign tangle of vessels', 'produces'), ('raredisease avms', 'sign fistulas', 'produces'), ('raredisease brain avms', 'sign lesion', 'produces'), ('raredisease avm', 'sign low pressure in the arteries leading to the avm', 'produces')}","{('raredisease avm', 'sign high flow rates in the vessels', 'produces'), ('raredisease arteriovenous malformation', 'raredisease avm', 'produces'), ('raredisease avm', 'sign low resistance of the direct a-v connections', 'produces'), ('raredisease avm', 'sign lower the pressure in the arteries', 'produces'), ('raredisease avms', 'sign blood traveling through the abnormal fistulous connections to flow rapidly', 'produces'), ('raredisease avm', 'sign stroke', 'produces'), ('raredisease avm', 'sign direct a-v connections', 'produces'), ('raredisease avm', 'sign high flow rates', 'produces'), ('raredisease arteriovenous malformation', 'sign lesion', 'produces'), ('raredisease avms', 'sign lack of capillaries', 'produces')}"
,,,is_acron,set(),"{('raredisease avm', 'raredisease arteriovenous malformation', 'is_acron')}"
6,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
7,"{'produces', 'anaphora', 'is_a', 'is_synon'}","{'produces', 'anaphora', 'is_a', 'is_acron'}",,,
,,,is_acron,"{('raredisease mucolipidosis type iii', 'raredisease pseudo-hurler polydystrophy', 'is_acron')}",
,,,produces,"{('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in cultured connective tissue cells (fibroblasts)', 'produces'), ('anaphor ""this disorder""', 'sign deterioration of the hip joints', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucopolysaccharides', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucolipids', 'produces'), ('anaphor ""this disorder""', 'sign growth delays', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign defective enzyme upd-n-acetylglucosamine-1-phosphotransferase', 'produces')}","{('anaphor ""this disorder""', 'sign claw-hands', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign growth delays', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign defective upd-n-acetylglucosamine-1-phosphotransferase', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in fibroblasts', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucopolysaccharides and mucolipids', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign deterioration of the hip joints', 'produces')}"
,,,anaphora,set(),set()
,,,is_a,set(),set()
,,,is_synon,set(),"{('raredisease mucolipidosis type ii', 'raredisease i-cell disease', 'is_synon'), ('raredisease mucolipidosis type iii', 'raredisease pseudo-hurler polydystrophy', 'is_synon')}"
8,"{'produces', 'anaphora'}","{'produces', 'anaphora'}",,,
,,,produces,"{('anaphor ""the disorder""', 'sign salt wasting', 'produces')}","{('raredisease gitelman syndrome', 'sign lower blood pressures', 'produces')}"
,,,anaphora,"{('raredisease gitelman syndrome', 'anaphor ""the disease""', 'anaphora'), ('raredisease gitelman syndrome', 'anaphor ""these disorders""', 'anaphora')}",set()
9,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
10,"{'produces', 'is_a', 'is_acron'}","{'produces', 'is_a', 'is_acron'}",,,
,,,produces,"{('raredisease c3g', 'sign dense deposits', 'produces'), ('raredisease ddd', ""sign dense'sausage-like' deposits in the glomerular basement membrane"", 'produces')}","{('raredisease dense deposit disease', ""sign dense'sausage-like' deposits in the glomerular basement membrane"", 'produces'), ('raredisease dense deposit disease', 'sign abundance of a protein called c3 in the renal glomeruli', 'produces')}"
