doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
1,"{'produces', 'is_a'}","{'produces', 'is_a'}",,,
,,,produces,set(),set()
,,,is_a,set(),set()
2,"{'produces', 'increases_risk_of', 'is_acron', 'anaphora'}",{'anaphora'},,,
,,,produces,set(),"{('disease hepatitis c', 'sign hepatitis', 'produces')}"
,,,increases_risk_of,set(),"{('disease hepatitis c', 'raredisease mixed cryoglobulinemia', 'increases_risk_of')}"
,,,is_acron,set(),"{('disease hcv', 'disease hepatitis c', 'is_acron')}"
,,,anaphora,"{('raredisease mixed cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}","{('disease cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}"
3,"{'produces', 'is_a', 'anaphora'}",{'anaphora'},,,
,,,produces,set(),"{('disease rhythmic tinnitus', 'symptom tinnitus', 'produces'), ('disease non-rhythmic tinnitus', 'symptom tinnitus', 'produces')}"
,,,is_a,set(),"{('disease non-rhythmic tinnitus', 'disease tinnitus', 'is_a'), ('disease rhythmic tinnitus', 'disease tinnitus', 'is_a')}"
,,,anaphora,"{('raredisease tinnitus', 'anaphor ""it""', 'anaphora'), ('raredisease rhythmic tinnitus', 'anaphor ""it""', 'anaphora')}","{('disease tinnitus', 'anaphor ""it""', 'anaphora')}"
4,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
5,"{'produces', 'is_acron'}",set(),,,
,,,produces,set(),"{('raredisease avm', 'sign high flow rates', 'produces'), ('raredisease arteriovenous malformation', 'sign lesion', 'produces'), ('raredisease avm', 'sign direct a-v connections', 'produces'), ('raredisease avms', 'sign blood traveling through the abnormal fistulous connections to flow rapidly', 'produces'), ('raredisease avm', 'sign low resistance of the direct a-v connections', 'produces'), ('raredisease avms', 'sign lack of capillaries', 'produces'), ('raredisease avm', 'sign fistulas', 'produces'), ('raredisease avm', 'sign lower the pressure in the arteries', 'produces'), ('raredisease arteriovenous malformation', 'raredisease avm', 'produces'), ('raredisease avm', 'sign high flow rates in the vessels', 'produces'), ('raredisease avm', 'sign stroke', 'produces')}"
,,,is_acron,set(),"{('raredisease avm', 'raredisease arteriovenous malformation', 'is_acron')}"
6,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
7,"{'produces', 'is_synon', 'is_a', 'anaphora'}","{'produces', 'is_a', 'anaphora'}",,,
,,,produces,"{('anaphor ""this disorder""', 'sign mild mental retardation', 'produces'), ('anaphor ""this disorder""', 'sign mild to moderate coarseness of facial features', 'produces'), ('anaphor ""this disorder""', 'sign easy fatigability', 'produces'), ('anaphor ""this disorder""', 'sign growth delays', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign defective enzyme upd-n-acetylglucosamine-1-phosphotransferase', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucopolysaccharides', 'produces'), ('anaphor ""this disorder""', 'sign clouding of the corneas of the eyes', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucolipids', 'produces'), ('anaphor ""this disorder""', 'sign deterioration of the hip joints', 'produces'), ('anaphor ""this disorder""', 'sign heart disease', 'produces')}","{('raredisease pseudo-hurler polydystrophy', 'sign growth delays', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign deterioration of the hip joints', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in white blood cells', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign clouding of the corneas of the eyes', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign mild to moderate coarseness of facial features', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign easy fatigability', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign mild mental retardation', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign heart disease', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign defective upd-n-acetylglucosamine-1-phosphotransferase', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucopolysaccharides and mucolipids', 'produces'), ('anaphor ""this disorder""', 'sign claw-hands', 'produces')}"
,,,is_synon,set(),"{('raredisease mucolipidosis type iii', 'raredisease pseudo-hurler polydystrophy', 'is_synon'), ('raredisease mucolipidosis type ii', 'raredisease i-cell disease', 'is_synon')}"
,,,is_a,set(),set()
,,,anaphora,set(),set()
8,"{'produces', 'anaphora'}","{'produces', 'anaphora'}",,,
,,,produces,"{('anaphor ""the disorder""', 'sign salt wasting', 'produces')}","{('raredisease gitelman syndrome', 'sign lower blood pressures', 'produces')}"
,,,anaphora,"{('raredisease gitelman syndrome', 'anaphor ""these disorders""', 'anaphora'), ('raredisease gitelman syndrome', 'anaphor ""the disease""', 'anaphora')}",set()
9,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
10,"{'produces', 'is_acron', 'is_a'}","{'produces', 'is_acron', 'is_a'}",,,
,,,produces,"{('raredisease ddd', 'sign deposits', 'produces'), ('raredisease ddd', 'sign sausage-like deposits in the gbm', 'produces'), ('raredisease dense deposit disease', 'sign abundance of c3 in the renal glomeruli', 'produces'), ('raredisease c3g', 'sign dense deposits', 'produces'), ('raredisease ddd', 'sign c3 in the renal glomeruli', 'produces')}","{('raredisease ddd', 'sign abundance of c3 in the renal glomeruli', 'produces'), ('raredisease dense deposit disease', ""sign dense'sausage-like' deposits in the glomerular basement membrane"", 'produces'), ('raredisease dense deposit disease', 'sign abundance of a protein called c3 in the renal glomeruli', 'produces')}"
