doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
1,"{'is_a', 'produces'}","{'is_a', 'produces'}",,,
,,,is_a,set(),set()
,,,produces,set(),set()
2,"{'produces', 'increases_risk_of', 'anaphora', 'is_acron'}","{'increases_risk_of', 'anaphora'}",,,
,,,produces,set(),"{('disease hepatitis c', 'sign hepatitis', 'produces')}"
,,,increases_risk_of,"{('disease hcv', 'raredisease cryoglobulinemia', 'increases_risk_of'), ('disease hcv', 'raredisease mixed cryoglobulinemia', 'increases_risk_of')}","{('disease hepatitis c', 'raredisease mixed cryoglobulinemia', 'increases_risk_of')}"
,,,anaphora,"{('raredisease mixed cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}","{('disease cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}"
,,,is_acron,set(),"{('disease hcv', 'disease hepatitis c', 'is_acron')}"
3,"{'anaphora', 'is_a', 'produces'}",{'anaphora'},,,
,,,anaphora,"{('symptom tinnitus', 'anaphor ""it""', 'anaphora')}","{('disease tinnitus', 'anaphor ""it""', 'anaphora')}"
,,,is_a,set(),"{('disease non-rhythmic tinnitus', 'disease tinnitus', 'is_a'), ('disease rhythmic tinnitus', 'disease tinnitus', 'is_a')}"
,,,produces,set(),"{('disease rhythmic tinnitus', 'symptom tinnitus', 'produces'), ('disease non-rhythmic tinnitus', 'symptom tinnitus', 'produces')}"
4,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
5,"{'produces', 'is_acron'}","{'is_a', 'produces', 'is_acron'}",,,
,,,is_a,"{('raredisease capillary malformation-avm syndrome', 'raredisease avm', 'is_a'), ('raredisease avm', 'disease vascular lesion', 'is_a'), ('raredisease brain avms', 'disease stroke', 'is_a'), ('raredisease brain avms', 'raredisease avm', 'is_a'), ('raredisease wyburn-mason syndrome', 'raredisease avm', 'is_a'), ('raredisease avm', 'disease hereditary hemorrhagic telangiectasia', 'is_a')}",
,,,produces,"{('raredisease avm', 'sign high flow rates in the vessels leading to and within the avm', 'produces'), ('raredisease avm', 'sign tangle of vessels', 'produces'), ('raredisease avm', 'sign no capillary bed', 'produces'), ('raredisease avm', 'sign abnormal fistulous connections', 'produces'), ('raredisease avm', 'sign pressure in the arteries reduced', 'produces'), ('raredisease avm', 'sign pressure in the veins reduced', 'produces'), ('raredisease avm', 'sign one or more direct connections between the arterial and venous circulations', 'produces'), ('raredisease avm', 'sign avm', 'produces')}","{('raredisease avm', 'sign lower the pressure in the arteries', 'produces'), ('raredisease avm', 'sign stroke', 'produces'), ('raredisease avm', 'sign direct a-v connections', 'produces'), ('raredisease avms', 'sign lack of capillaries', 'produces'), ('raredisease arteriovenous malformation', 'raredisease avm', 'produces'), ('raredisease arteriovenous malformation', 'sign lesion', 'produces'), ('raredisease avm', 'sign high flow rates', 'produces'), ('raredisease avm', 'sign high flow rates in the vessels', 'produces'), ('raredisease avms', 'sign blood traveling through the abnormal fistulous connections to flow rapidly', 'produces')}"
,,,is_acron,set(),set()
6,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
7,"{'is_synon', 'anaphora', 'is_a', 'produces'}","{'anaphora', 'is_a', 'produces'}",,,
,,,is_synon,set(),"{('raredisease mucolipidosis type ii', 'raredisease i-cell disease', 'is_synon'), ('raredisease mucolipidosis type iii', 'raredisease pseudo-hurler polydystrophy', 'is_synon')}"
,,,anaphora,set(),set()
,,,is_a,set(),set()
